"Country","Year","Life Expectancy Rate","Worldwide Life Expectancy Rate","Decade"
"azerbaijan",2010,70.4502926829268,69.48,2010
"moldova",2010,68.4581219512195,69.48,2010
"madagascar",2010,63.3497317073171,69.48,2010
"maldives",2010,76.7863170731707,69.48,2010
"mexico",2010,76.6902926829268,69.48,2010
"mali",2010,53.7707317073171,69.48,2010
"malta",2010,81.3975609756098,69.48,2010
"burundi",2010,52.6240243902439,69.48,2010
"mongolia",2010,66.8946097560976,69.48,2010
"mozambique",2010,49.1370731707317,69.48,2010
"mauritania",2010,61.023243902439,69.48,2010
"mauritius",2010,72.9673170731707,69.48,2010
"malawi",2010,53.4657073170732,69.48,2010
"malaysia",2010,74.4955853658537,69.48,2010
"namibia",2010,62.4802926829268,69.48,2010
"belgium",2010,80.2341463414634,69.48,2010
"niger",2010,56.9856341463415,69.48,2010
"nigeria",2010,51.2894146341464,69.48,2010
"nicaragua",2010,73.7951219512195,69.48,2010
"netherlands",2010,80.7024390243902,69.48,2010
"norway",2010,80.9975609756098,69.48,2010
"nepal",2010,67.1049268292683,69.48,2010
"new zealand",2010,80.7024390243902,69.48,2010
"oman",2010,76.0458048780488,69.48,2010
"pakistan",2010,66.1263414634146,69.48,2010
"panama",2010,76.9487073170732,69.48,2010
"benin",2010,58.7466829268293,69.48,2010
"peru",2010,73.9050975609756,69.48,2010
"philippines",2010,68.2302682926829,69.48,2010
"papua new guinea",2010,62.0078048780488,69.48,2010
"poland",2010,76.2463414634146,69.48,2010
"portugal",2010,79.0268292682927,69.48,2010
"paraguay",2010,72.0266585365854,69.48,2010
"burkina faso",2010,55.006756097561,69.48,2010
"qatar",2010,78.1460487804878,69.48,2010
"romania",2010,73.4585365853659,69.48,2010
"rwanda",2010,62.2121463414634,69.48,2010
"saudi arabia",2010,75.0756097560976,69.48,2010
"sudan",2010,61.4782926829268,69.48,2010
"senegal",2010,62.8418780487805,69.48,2010
"singapore",2010,81.5414634146342,69.48,2010
"solomon islands",2010,67.0666585365854,69.48,2010
"sierra leone",2010,44.8389512195122,69.48,2010
"bangladesh",2010,69.4858048780488,69.48,2010
"el salvador",2010,71.6344146341464,69.48,2010
"serbia",2010,74.3365853658537,69.48,2010
"suriname",2010,70.3358292682927,69.48,2010
"slovenia",2010,79.4219512195122,69.48,2010
"sweden",2010,81.4512195121951,69.48,2010
"bulgaria",2010,73.5121951219512,69.48,2010
"swaziland",2010,48.345756097561,69.48,2010
"seychelles",2010,73.1975609756098,69.48,2010
"chad",2010,49.7698536585366,69.48,2010
"togo",2010,55.4688780487805,69.48,2010
"thailand",2010,73.8137804878049,69.48,2010
"tajikistan",2010,66.995512195122,69.48,2010
"turkmenistan",2010,65.0182195121951,69.48,2010
"bahrain",2010,76.2648536585366,69.48,2010
"tonga",2010,72.1826341463415,69.48,2010
"trinidad and tobago",2010,69.5973658536585,69.48,2010
"tunisia",2010,74.6024390243903,69.48,2010
"turkey",2010,74.2111951219512,69.48,2010
"uganda",2010,57.2965365853659,69.48,2010
"ukraine",2010,70.2653658536586,69.48,2010
"afghanistan",2010,59.6000975609756,69.48,2010
"uruguay",2010,76.6162195121951,69.48,2010
"united states",2010,78.5414634146342,69.48,2010
"uzbekistan",2010,67.858756097561,69.48,2010
"vietnam",2010,75.3117317073171,69.48,2010
"vanuatu",2010,70.8389024390244,69.48,2010
"samoa",2010,72.4080243902439,69.48,2010
"bosnia and herzegovina",2010,75.8066829268293,69.48,2010
"south africa",2010,54.390756097561,69.48,2010
"zambia",2010,54.5275609756098,69.48,2010
"zimbabwe",2010,53.5931219512195,69.48,2010
"belarus",2010,70.4048780487805,69.48,2010
"belize",2010,73.2704878048781,69.48,2010
"bolivia",2010,66.3197073170732,69.48,2010
"brazil",2010,73.0753170731707,69.48,2010
"barbados",2010,74.8017804878049,69.48,2010
"bhutan",2010,67.0046829268293,69.48,2010
"angola",2010,50.6541707317073,69.48,2010
"botswana",2010,46.4402926829268,69.48,2010
"canada",2010,80.8934878048781,69.48,2010
"switzerland",2010,82.2463414634147,69.48,2010
"chile",2010,79.0504634146342,69.48,2010
"china",2010,74.8850243902439,69.48,2010
"cameroon",2010,53.6948292682927,69.48,2010
"albania",2010,76.978512195122,69.48,2010
"colombia",2010,73.3676829268293,69.48,2010
"comoros",2010,60.2034146341463,69.48,2010
"costa rica",2010,79.2797073170732,69.48,2010
"cuba",2010,78.7177804878049,69.48,2010
"cyprus",2010,79.3098292682927,69.48,2010
"czech republic",2010,77.4243902439025,69.48,2010
"germany",2010,79.9878048780488,69.48,2010
"united arab emirates",2010,76.5986097560976,69.48,2010
"djibouti",2010,60.2911951219512,69.48,2010
"denmark",2010,79.1,69.48,2010
"dominican republic",2010,72.7921463414634,69.48,2010
"algeria",2010,70.6166097560976,69.48,2010
"ecuador",2010,75.6477073170732,69.48,2010
"spain",2010,81.6268292682927,69.48,2010
"estonia",2010,75.4292682926829,69.48,2010
"argentina",2010,75.6635609756098,69.48,2010
"ethiopia",2010,61.4679512195122,69.48,2010
"finland",2010,79.8707317073171,69.48,2010
"fiji",2010,69.3823170731707,69.48,2010
"france",2010,81.6634146341463,69.48,2010
"gabon",2010,62.289756097561,69.48,2010
"united kingdom",2010,80.4024390243902,69.48,2010
"georgia",2010,73.6747317073171,69.48,2010
"ghana",2010,60.5995609756098,69.48,2010
"armenia",2010,74.2196585365854,69.48,2010
"guinea",2010,55.298,69.48,2010
"guinea-bissau",2010,53.5584390243903,69.48,2010
"equatorial guinea",2010,51.5330731707317,69.48,2010
"greece",2010,80.3878048780488,69.48,2010
"guatemala",2010,70.9959756097561,69.48,2010
"guyana",2010,65.7024878048781,69.48,2010
"honduras",2010,72.8503170731707,69.48,2010
"croatia",2010,76.4756097560976,69.48,2010
"haiti",2010,61.866756097561,69.48,2010
"hungary",2010,74.2073170731707,69.48,2010
"indonesia",2010,70.1678536585366,69.48,2010
"india",2010,65.694243902439,69.48,2010
"ireland",2010,80.7439024390244,69.48,2010
"iraq",2010,68.829756097561,69.48,2010
"iceland",2010,81.8975609756097,69.48,2010
"israel",2010,81.6024390243903,69.48,2010
"italy",2010,82.0365853658537,69.48,2010
"jamaica",2010,72.8471219512195,69.48,2010
"jordan",2010,73.4358780487805,69.48,2010
"japan",2010,82.8426829268293,69.48,2010
